name,demand,service,from_,to,coord,is_depot,step
3,17,90.0,825.0,870.0,"(45.0, 70.0)",False,4
16,35,90.0,384.0,429.0,"(20.0, 80.0)",False,6
28,15,90.0,261.0,316.0,"(23.0, 52.0)",False,8
13,26,90.0,652.0,721.0,"(25.0, 85.0)",False,9
27,19,90.0,622.0,701.0,"(25.0, 55.0)",False,12
6,20,90.0,15.0,67.0,"(42.0, 65.0)",False,13
9,39,90.0,255.0,324.0,"(38.0, 68.0)",False,14
21,5,90.0,10.0,73.0,"(30.0, 50.0)",False,16
33,22,90.0,31.0,100.0,"(10.0, 40.0)",False,18
18,19,90.0,99.0,148.0,"(18.0, 75.0)",False,19
25,7,90.0,65.0,144.0,"(25.0, 50.0)",False,20
22,29,90.0,914.0,965.0,"(30.0, 52.0)",False,21
18,26,90.0,99.0,148.0,"(18.0, 75.0)",False,22
20,15,90.0,278.0,345.0,"(15.0, 80.0)",False,23
24,12,90.0,732.0,777.0,"(28.0, 55.0)",False,24
26,6,90.0,169.0,224.0,"(25.0, 52.0)",False,26
22,2,90.0,914.0,965.0,"(30.0, 52.0)",False,27
20,20,90.0,278.0,345.0,"(15.0, 80.0)",False,28
10,22,90.0,534.0,605.0,"(38.0, 70.0)",False,30
18,21,90.0,99.0,148.0,"(18.0, 75.0)",False,32
3,24,90.0,825.0,870.0,"(45.0, 70.0)",False,34
16,38,90.0,384.0,429.0,"(20.0, 80.0)",False,35
17,40,90.0,475.0,528.0,"(20.0, 85.0)",False,37
25,36,90.0,65.0,144.0,"(25.0, 50.0)",False,38
11,38,90.0,357.0,410.0,"(35.0, 66.0)",False,40
21,26,90.0,10.0,73.0,"(30.0, 50.0)",False,41
8,11,90.0,170.0,225.0,"(40.0, 66.0)",False,42
34,25,90.0,87.0,158.0,"(8.0, 40.0)",False,43
28,20,90.0,261.0,316.0,"(23.0, 52.0)",False,44
12,2,90.0,448.0,505.0,"(35.0, 69.0)",False,46
33,0,90.0,31.0,100.0,"(10.0, 40.0)",False,49
33,36,90.0,31.0,100.0,"(10.0, 40.0)",False,50
22,12,90.0,914.0,965.0,"(30.0, 52.0)",False,52
5,4,90.0,727.0,782.0,"(42.0, 68.0)",False,53
4,2,90.0,65.0,146.0,"(42.0, 66.0)",False,54
3,19,90.0,825.0,870.0,"(45.0, 70.0)",False,55
20,27,90.0,278.0,345.0,"(15.0, 80.0)",False,58
21,8,90.0,10.0,73.0,"(30.0, 50.0)",False,60
4,11,90.0,65.0,146.0,"(42.0, 66.0)",False,61
10,26,90.0,534.0,605.0,"(38.0, 70.0)",False,64
8,21,90.0,170.0,225.0,"(40.0, 66.0)",False,65
14,39,90.0,30.0,92.0,"(22.0, 75.0)",False,68
3,5,90.0,825.0,870.0,"(45.0, 70.0)",False,69
3,21,90.0,825.0,870.0,"(45.0, 70.0)",False,70
28,27,90.0,261.0,316.0,"(23.0, 52.0)",False,71
14,26,90.0,30.0,92.0,"(22.0, 75.0)",False,72
17,19,90.0,475.0,528.0,"(20.0, 85.0)",False,73
32,3,90.0,200.0,237.0,"(10.0, 35.0)",False,79
17,23,90.0,475.0,528.0,"(20.0, 85.0)",False,80
13,37,90.0,652.0,721.0,"(25.0, 85.0)",False,81
25,9,90.0,65.0,144.0,"(25.0, 50.0)",False,82
30,38,90.0,358.0,405.0,"(20.0, 50.0)",False,83
21,36,90.0,10.0,73.0,"(30.0, 50.0)",False,84
14,28,90.0,30.0,92.0,"(22.0, 75.0)",False,85
23,6,90.0,812.0,883.0,"(28.0, 52.0)",False,86
2,35,90.0,912.0,967.0,"(45.0, 68.0)",False,87
22,25,90.0,914.0,965.0,"(30.0, 52.0)",False,88
32,12,90.0,200.0,237.0,"(10.0, 35.0)",False,89
10,11,90.0,534.0,605.0,"(38.0, 70.0)",False,90
34,30,90.0,87.0,158.0,"(8.0, 40.0)",False,91
3,17,90.0,825.0,870.0,"(45.0, 70.0)",False,92
24,9,90.0,732.0,777.0,"(28.0, 55.0)",False,94
24,0,90.0,732.0,777.0,"(28.0, 55.0)",False,96
19,6,90.0,179.0,254.0,"(15.0, 75.0)",False,97
